adv_type,adv_tiers,feat_type,feat_name,feat_text
general use,"1,2,3,4",Reaction,Momentum,"When this adversary makes a successful attack against a PC, you gain a Fear."
general use,"1,2,3,4",Passive,Relentless (X),This adversary can be spotlighted up to X times per GM turn. Spend Fear as usual to spotlight them.
general use,"1,2,3,4",Passive,Slow,"When you spotlight this adversary and they don’t have a token on their stat block, they can’t act yet. Place a token on their stat block and describe what they’re preparing to do. When you spotlight this adversary and they have a token on their stat block, clear the token and they can act."
general use,"1,2,3,4",Passive,Terrifying,"When this adversary makes a successful attack, all PCs within Close range lose a Hope and you gain a Fear."
general use,"1,2,3,4",Passive,Wards,This adversary is resistant to magic damage.
general use,"1,2,3,4",Passive,Armor-clad,This adversary is resistant to physical damage.
Bruiser,"1,2,3,4",Passive,Slow,"When you spotlight the {adversary} and they don’t have a token on their stat block, they can’t act yet. Place a token on their stat block and describe what they’re preparing to do. When you spotlight the {adversary} and they have a token on their stat block, clear the token and they can act."
Bruiser,"2,3,4",Passive,Ramp Up,"You must spend a Fear to spotlight the {adversary}. While spotlighted, they can make their standard attack against all targets within range."
Bruiser,"3,4",Passive,Direct Blow,The {adversary}’s attacks deal direct damage.
Bruiser,"2,3,4",Passive,Battering Blow,Targets who take damage from the {adversary}’s standard attack are knocked back to Very Close range.
Bruiser,"1,2,3,4",Action,Pin ‘em Down,"On a successful standard attack, mark a Stress to give the target the Restrained condition until they break free with a successful Action Roll or other appropriate action."
Bruiser,"2,3,4",Action,Frenzied Rage,"Spend a Fear to send the {adversary} into a blind rage; they can make <<tier>> attacks against targets within Close range and deal <<2x dmg>> physical damage on a successful attack. After the rage, the {adversary} is temporarily Vulnerable."
Bruiser,"1,2,3,4",Action,Crushing Blow,"Mark a Stress to have the {adversary} make a standard attack. On a success, the attack’s force renders the target Vulnerable until they mark a Stress or gain a Hope."
Bruiser,"2,3,4",Action,Bullrush,Mark a Stress to have the {adversary} charge in a line within Close range and swing wildly at all targets in their path. Any targets within Melee range of the path must succeed on an Agility or Strength Reaction Roll or take <<1x dmg>> physical damage and be knocked back to Very Close range.
