adv_type,tier,diff_rng,thresh_maj_rng,thresh_sev_rng,hp_rng,stress_rng,atk_rng,dmg_avg_rng,dice_pool_optns,minion_pasv_rng
Bruiser,1,12-14,7-9,13-15,5-7,3-4,0-2,8-11,"1d12+2,1d10+4,1d8+6",
Bruiser,2,14-16,12-14,23-26,5-7,4-6,2-4,12-16,"2d12+3,2d10+2,2d8+6",
Bruiser,3,16-18,19-22,35-40,6-8,4-6,3-5,18-22,"3d12+1,3d10+4,3d8+8",
Bruiser,4,18-20,30-37,63-70,7-9,4-6,5-8,30-45,"4d12+15,4d10+10,4d8+12",
Horde,1,10-12,5-10,8-12,4-6,2-3,-2-0,5-8,"1d10+2,1d8+3,1d6+4",
Horde,2,10-12,5-10,8-12,4-6,2-3,-2-0,5-8,"2d10+2,2d8+6,2d6+3",
Horde,3,12-14,10-15,16-20,5-6,2-3,-1-1,9-13,"3d10+2,3d8+4,3d6+6",
Horde,4,14-16,15-25,26-32,6-7,3-4,0-2,14-19,"4d10+4,4d8+8,4d6+10",
Leader,1,12-14,7-9,13-15,5-7,3-4,2-4,6-9,"1d12+1,1d10+3,1d8+5",
Leader,2,14-16,12-14,23-26,5-7,4-5,3-5,12-15,"2d12+1,2d10+3,2d8+6",
Leader,3,17-19,19-22,35-40,6-8,5-6,5-7,15-18,"3d10+1,3d8+8",
Leader,4,19-21,30-37,63-70,7-9,6-8,8-10,25-35,"4d12+6,4d10+8,4d8+10",
Minion,1,10-12,,,1,1,-2-0,1-3,,3-5
Minion,2,12-14,,,1,1,-1-1,2-4,,5-7
Minion,3,14-16,,,1,1-2,0-2,5-8,,7-9
Minion,4,16-18,,,1,1-2,1-3,10-12,,9-12
Ranged,1,10-12,3-5,6-9,3-4,2-3,1-2,6-9,"1d12+1,1d10+3,1d8+5",
Ranged,2,13-15,5-8,13-18,3-5,2-3,2-5,12-16,"2d12+1,2d10+3,2d8+6",
Ranged,3,15-17,12-15,25-30,4-6,3-4,3-4,15-18,"3d10+1,3d8+8",
Ranged,4,17-19,18-25,30-40,4-6,4-5,4-6,25-35,"4d12+6,4d10+8,4d8+10",
Skulk,1,10-12,5-7,8-12,3-4,2-3,1-2,5-8,"1d8+3,1d6+2,1d4+4",
Skulk,2,12-14,7-9,16-20,3-5,3-4,2-5,9-13,"2d8+3,2d6+3,2d4+6",
Skulk,3,14-16,15-20,27-32,4-6,4-5,3-7,14-18,"3d8+4,3d6+5,3d4+10",
Skulk,4,16-18,20-30,35-45,4-6,4-6,4-8,20-35,"4d12+10,4d10+4,4d6+10",
Solo,1,12-14,7-9,13-15,8-10,3-4,3,8-11,"1d20,1d12+2,1d10+4",
Solo,2,14-16,12-14,23-26,8-10,4-5,3-4,15-20,"2d20+3,2d10+2,2d8+6",
Solo,3,17-19,19-22,35-40,10-12,5-6,4-7,20-30,"3d20,3d12+6,3d10+8",
Solo,4,19-21,30-37,63-70,10-12,6-8,7-10,30-45,"4d12+15,4d10+10,4d8+12",
Standard,1,11-13,5-8,8-12,4-5,3-4,0-2,4-6,"1d8+1,1d6+2,1d4+4",
Standard,2,13-15,8-12,16-20,5-6,3-4,1-3,8-12,"2d8+2,2d6+3,2d4+4",
Standard,3,15-17,15-20,27-32,5-6,4-5,2-4,12-17,"3d8+2,3d6+3,2d12+2",
Standard,4,17-19,25-35,35-55,5-6,4-5,3-5,17-28,"4d10+2,4d8+4,4d6+10",
Support,1,12-14,5-8,9-12,3-4,4-5,0-2,3-5,"1d8,1d6+2,1d4+4",
Support,2,13-15,8-12,16-20,3-5,4-6,1-3,5-12,"2d8+1,2d6+2,2d4+3",
Support,3,15-17,15-20,28-35,4-6,5-6,2-4,13-16,"3d8,3d6+3,2d12+1",
Support,4,17-19,20-30,35-45,4-6,5-6,3-5,18-25,"3d10+3,4d8+4,4d6+8",
Social,1,10-12,3-5,6-9,3,2-3,-4-1,2-4,"1d6+1,1d4+1",
Social,2,13-15,5-8,13-18,3,2-3,-3-0,5-12,"2d6+2,1d4+3",
Social,3,15-17,15-20,27-32,4,2-3,-2-2,12-17,"3d6+3,3d4+6",
Social,4,17-19,25-35,35-50,4,2-3,2-6,17-28,"4d8+5,4d6+4,4d6+4",
Colossus framework,1,,8-13,18-22,,5-6,,,,
Colossus framework,2,,15-20,24-32,,5-6,,,,
Colossus framework,3,,25-35,44-54,,6-7,,,,
Colossus framework,4,,30-40,60-70,,6-8,,,,
Colossus average segment,1,13-14,,,3-4,,1-3,6-9,"1d6+3,1d10+1",
Colossus average segment,2,14-15,,,3-4,,2-4,12-16,"2d8+6,2d10+4",
Colossus average segment,3,15-16,,,4-5,,2-4,16-20,"3d6+10,3d8+6",
Colossus average segment,4,16-17,,,4-5,,3-5,25-30,"4d10+6,4d8+12",
Colossus strong segment,1,14-16,,,5-6,,1-3,9-12,"1d8+6,1d12+4",
Colossus strong segment,2,15-17,,,5-7,,2-4,16-20,"2d10+8,2d12+6",
Colossus strong segment,3,16-18,,,6-7,,2-4,20-30,"3d12+12,3d10+6",
Colossus strong segment,4,17-19,,,6-8,,3-5,30-45,"3d20+8,4d12+12",
